location,date,people_vaccinated_per_hundred
Japan,10/30/22,84.13
Upper middle income,10/30/22,82.78
High income,10/30/22,79.41
Asia,10/30/22,76.61
India,10/30/22,72.46
World,10/30/22,67.94
Lower middle income,10/30/22,63.05
South Africa,10/30/22,37.39
Africa,10/30/22,29.99
Argentina,10/29/22,90.85
Uruguay,10/29/22,87.7
Italy,10/29/22,86.13
South America,10/29/22,85.17
Bahrain,10/29/22,84.28
Japan,10/29/22,84.13
Malaysia,10/29/22,82.82
Upper middle income,10/29/22,82.78
Bangladesh,10/29/22,80.25
High income,10/29/22,79.41
Asia,10/29/22,76.61
Greece,10/29/22,76.36
European Union,10/29/22,75.06
India,10/29/22,72.46
Europe,10/29/22,69.79
World,10/29/22,67.94
Turkey,10/29/22,67.89
Czechia,10/29/22,66.48
Lower middle income,10/29/22,63.05
South Africa,10/29/22,37.39
Africa,10/29/22,29.99
Kyrgyzstan,10/29/22,24.42
Chile,10/28/22,92.2
Taiwan,10/28/22,91.13
Argentina,10/28/22,90.85
Malta,10/28/22,89.68
Nicaragua,10/28/22,87.85
Canada,10/28/22,87.84
Uruguay,10/28/22,87.7
Brazil,10/28/22,87.03
Italy,10/28/22,86.13
South America,10/28/22,85.17
Aruba,10/28/22,84.51
Bahrain,10/28/22,84.28
Japan,10/28/22,84.12
Malaysia,10/28/22,82.82
Upper middle income,10/28/22,82.78
Panama,10/28/22,79.6
High income,10/28/22,79.41
Germany,10/28/22,77.73
Austria,10/28/22,77.09
Asia,10/28/22,76.59
Greece,10/28/22,76.36
North America,10/28/22,75.34
European Union,10/28/22,75.06
India,10/28/22,72.46
Lithuania,10/28/22,71.12
Israel,10/28/22,71.11
Europe,10/28/22,69.79
World,10/28/22,67.93
Turkey,10/28/22,67.89
Czechia,10/28/22,66.48
Dominican Republic,10/28/22,64.92
Lower middle income,10/28/22,63.03
Belize,10/28/22,62.02
Honduras,10/28/22,61.38
Croatia,10/28/22,57.55
Poland,10/28/22,57.21
Curacao,10/28/22,56.79
Kosovo,10/28/22,50.86
Guatemala,10/28/22,49.52
South Africa,10/28/22,37.38
Africa,10/28/22,29.99
Kyrgyzstan,10/28/22,24.41
Cuba,10/27/22,95.52
Chile,10/27/22,92.2
Taiwan,10/27/22,91.12
Argentina,10/27/22,90.85
Malta,10/27/22,89.68
Canada,10/27/22,87.81
Uruguay,10/27/22,87.7
South Korea,10/27/22,87.08
Brazil,10/27/22,87.03
Italy,10/27/22,86.13
South America,10/27/22,85.17
Aruba,10/27/22,84.5
Bahrain,10/27/22,84.28
Japan,10/27/22,84.12
Malaysia,10/27/22,82.82
Upper middle income,10/27/22,82.78
Denmark,10/27/22,81.75
France,10/27/22,80.5
Norway,10/27/22,79.98
High income,10/27/22,79.41
Germany,10/27/22,77.73
Austria,10/27/22,77.09
