"count","region","country"
63,"Baringo","Kenya"
233,"Bomet","Kenya"
363,"Bungoma","Kenya"
69,"Busia","Kenya"
48,"Elgeyo/Marakwet","Kenya"
68,"Embu","Kenya"
19,"Garissa","Kenya"
70,"Homa Bay","Kenya"
19,"Isiolo","Kenya"
157,"Kajiado","Kenya"
245,"Kakamega","Kenya"
190,"Kericho","Kenya"
418,"Kiambu","Kenya"
93,"Kilifi","Kenya"
52,"Kirinyaga","Kenya"
229,"Kisii","Kenya"
208,"Kisumu","Kenya"
90,"Kitui","Kenya"
75,"Kwale","Kenya"
55,"Laikipia","Kenya"
6,"Lamu","Kenya"
149,"Machakos","Kenya"
64,"Makueni","Kenya"
4,"Mandera","Kenya"
12,"Marsabit","Kenya"
180,"Meru","Kenya"
230,"Migori","Kenya"
204,"Mombasa","Kenya"
97,"Muranga","Kenya"
1320,"Nairobi","Kenya"
493,"Nakuru","Kenya"
262,"Nandi","Kenya"
145,"Narok","Kenya"
53,"Nyamira","Kenya"
36,"Nyandarua","Kenya"
97,"Nyeri","Kenya"
17,"Samburu","Kenya"
322,"Siaya","Kenya"
28,"Taita Taveta","Kenya"
6,"Tana River","Kenya"
51,"Tharaka Nithi","Kenya"
127,"Trans Nzoia","Kenya"
31,"Turkana","Kenya"
325,"Uasin Gishu","Kenya"
73,"Vihiga","Kenya"
17,"Wajir","Kenya"
41,"West Pokot","Kenya"
60,"No County Data","Kenya"
1128,"Abia","Nigeria"
250,"Adamawa","Nigeria"
444,"Akwa Ibom","Nigeria"
397,"Anambra","Nigeria"
687,"Bauchi","Nigeria"
101,"Bayelsa","Nigeria"
345,"Benue","Nigeria"
304,"Borno","Nigeria"
245,"Cross River","Nigeria"
373,"Delta","Nigeria"
93,"Ebonyi","Nigeria"
464,"Edo","Nigeria"
111,"Ekiti","Nigeria"
374,"Enugu","Nigeria"
183,"Gombe","Nigeria"
219,"Imo","Nigeria"
60,"Jigawa","Nigeria"
1718,"Kaduna","Nigeria"
534,"Kano","Nigeria"
174,"Katsina","Nigeria"
56,"Kebbi","Nigeria"
338,"Kogi","Nigeria"
283,"Kwara","Nigeria"
1551,"Lagos","Nigeria"
225,"Nasarawa","Nigeria"
1101,"Niger","Nigeria"
420,"Ogun","Nigeria"
203,"Ondo","Nigeria"
239,"Osun","Nigeria"
451,"Oyo","Nigeria"
568,"Plateau","Nigeria"
514,"Rivers","Nigeria"
85,"Sokoto","Nigeria"
186,"Taraba","Nigeria"
58,"Yobe","Nigeria"
33,"Zamfara","Nigeria"
285,"No County Data","Nigeria"
