group,variable,value
Kenya Study Sample,average age,36
Kenya Afrobarometer Sample,average age,26
Kenya Study Sample,% christian,88
Kenya Afrobarometer Sample,% christian,52
Kenya Study Sample,% completed secondary school,48
Kenya Afrobarometer Sample,% completed secondary school,93
Kenya Study Sample,% employed,48
Kenya Afrobarometer Sample,% employed,89
Kenya Study Sample,% male,50
Kenya Afrobarometer Sample,% male,29
Kenya Study Sample,% urban,79
Kenya Afrobarometer Sample,% urban,43
Kenya Study Sample,% voted,83
Kenya Afrobarometer Sample,% voted,56
