group,variable,value
Nigeria Study Sample,average age,35
Nigeria Afrobarometer Sample,average age,25
Nigeria Study Sample,% christian,50
Nigeria Afrobarometer Sample,% christian,52
Nigeria Study Sample,% completed secondary school,58
Nigeria Afrobarometer Sample,% completed secondary school,71
Nigeria Study Sample,% employed,46
Nigeria Afrobarometer Sample,% employed,92
Nigeria Study Sample,% male,50
Nigeria Afrobarometer Sample,% male,39
Nigeria Study Sample,% urban,90
Nigeria Afrobarometer Sample,% urban,68
Nigeria Study Sample,% voted,79
Nigeria Afrobarometer Sample,% voted,45
